table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
,,2020,2021,2022,2023
United States,331464948,331526933,332048977,333271411,334914895
Northeast,57614141,57430477,57243423,57026847,56983517
Midwest,68987296,68969794,68850246,68783028,68909283
South,126268529,126465281,127353282,128702030,130125290
West,78594982,78661381,78602026,78759506,78896805
.Alabama,5024294,5031864,5050380,5073903,5108468
.Alaska,733374,732964,734923,733276,733406
.Arizona,7157902,7186683,7272487,7365684,7431344
.Arkansas,3011490,3014348,3028443,3046404,3067732
.California,39538212,39503200,39145060,39040616,38965193
.Colorado,5773707,5785219,5811596,5841039,5877610
.Connecticut,3605912,3577586,3603691,3608706,3617176
.Delaware,989946,991862,1004881,1019459,1031890
.District of Columbia,689548,670839,669037,670949,678972
.Florida,21538216,21591299,21830708,22245521,22610726
.Georgia,10713771,10732390,10790385,10913150,11029227
.Hawaii,1455274,1451181,1446745,1439399,1435138
.Idaho,1839117,1849339,1904537,1938996,1964726
.Illinois,12813469,12790357,12690341,12582515,12549689
.Indiana,6785442,6789098,6813798,6832274,6862199
.Iowa,3190427,3190904,3197944,3199693,3207004
.Kansas,2937835,2938124,2937946,2936716,2940546
.Kentucky,4506297,4508155,4507600,4511563,4526154
.Louisiana,4657785,4652022,4627047,4588023,4573749
.Maine,1363177,1364517,1378787,1389338,1395722
.Maryland,6177253,6173689,6175045,6163981,6180253
.Massachusetts,7032933,6997713,6991951,6982740,7001399
.Michigan,10077674,10070627,10038117,10033281,10037261
.Minnesota,5706804,5710578,5717968,5714300,5737915
.Mississippi,2961306,2958409,2949582,2938928,2939690
.Missouri,6154889,6154426,6170393,6177168,6196156
.Montana,1084244,1087211,1106366,1122878,1132812
.Nebraska,1961965,1963273,1964253,1968060,1978379
.Nevada,3104617,3115840,3146632,3177421,3194176
.New Hampshire,1377524,1378702,1387494,1399003,1402054
.New Jersey,9289039,9272392,9269175,9260817,9290841
.New Mexico,2117525,2118488,2116950,2113476,2114371
.New York,20202320,20104710,19854526,19673200,19571216
.North Carolina,10439459,10453812,10567100,10695965,10835491
.North Dakota,779079,779563,777982,778912,783926
.Ohio,11799331,11798292,11765227,11759697,11785935
.Oklahoma,3959411,3965234,3991634,4019271,4053824
.Oregon,4237279,4245044,4256465,4239379,4233358
.Pennsylvania,13002788,12995477,13013614,12972091,12961683
.Rhode Island,1097371,1096444,1097092,1093842,1095962
.South Carolina,5118422,5132151,5193848,5282955,5373555
.South Dakota,886668,887852,896299,909869,919318
.Tennessee,6910786,6926091,6963709,7048976,7126489
.Texas,29145459,29234361,29561286,30029848,30503301
.Utah,3271614,3283982,3339284,3381236,3417734
.Vermont,643077,642936,647093,647110,647464
.Virginia,8631373,8637193,8657348,8679099,8715698
.Washington,7705267,7724566,7741433,7784477,7812880
.West Virginia,1793713,1791562,1785249,1774035,1770071
.Wisconsin,5893713,5896700,5879978,5890543,5910955
.Wyoming,576850,577664,579548,581629,584057
,,,,,
.Puerto Rico,"3,285,874","3,281,557","3,262,693","3,220,113","3,205,691"
"Vintage 2023 data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0085).  ",,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2023 population estimates series are as of January 1, 2023.",,,,,
Suggested Citation:,,,,,
"Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2023 (NST-EST2023-POP)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: December 2023,,,,,